Product Name,Sales,Cost,Gross Profit,Units,Gross Margin %,Profit per Unit,Revenue Contribution %,Profit Contribution %
Everlasting Gobstopper,130.0,26.0,104.0,13,0.8000000000000002,8.0,0.000916890052822,0.0011129803473354
Hair Toffee,76.5,17.0,59.5,17,0.7777777777777778,3.5,0.0005395545310837,0.0006367531794852
Wonka Bar - Nutty Crunch Surprise,23574.95,6755.0,16819.95,6755,0.7134670487106016,2.49,0.1662741319290527,0.1800026326265908
Wonka Bar -Scrumdiddlyumptious,27874.8,8517.3,19357.5,7743,0.6944444444444444,2.5,0.1966009757261822,0.2071588180148711
Wonka Bar - Fudge Mallows,24890.4,8296.8,16593.6,6914,0.6666666666666666,2.4,0.1755520013135508,0.1775802951110198
Wonka Bar - Triple Dazzle Caramel,28485.0,9874.8,18610.2,7596,0.6533333333333333,2.45,0.2009047165741207,0.1991614121152191
Wonka Bar - Milk Chocolate,26867.75,9424.38,17443.37,8267,0.6492307692307692,2.11,0.1894982516669942,0.1866743077048205
Laffy Taffy,53.73,20.25,33.480000000000004,27,0.6231155778894473,1.24,0.0003789577118317,0.0003582940579691
Fizzy Lifting Drinks,78.75,31.5,47.25,21,0.6,2.25,0.0005554237819979,0.00050565693665
Wonka Gum,597.5,286.8,310.7,478,0.52,0.65,0.0042141677427782,0.0033250287876647
Lickable Wallpaper,7860.0,3930.0,3930.0,393,0.5,10.0,0.0554365831937015,0.0420578150483504
Nerds,15.0,8.0,7.0,10,0.4666666666666666,0.7,0.0001057950060948,7.491213876296517e-05
SweeTARTS,61.5,32.8,28.7,41,0.4666666666666666,0.7,0.0004337595249888,0.0003071397689281
Fun Dip,12.0,7.2,4.8,8,0.3999999999999999,0.6,8.463600487588024e-05,5.136832372317611e-05
Kazookles,1205.75,1113.0,92.75,371,0.0769230769230769,0.25,0.0085041552399243,0.0009925858386092
